area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750.0,3.0,2.0,150.0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Caiseha,1020.0,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1893.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Pricae ,3025.0,3.0,0.0,500.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1200.0,2.0,1.0,78.0
Super built-up  Area,19-Oct,Sarjapur  Road,2 BHK,Brareio,1233.0,2.0,2.0,77.65
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1255.0,2.0,2.0,65.26
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1525.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1240.0,2.0,1.0,84.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1245.0,2.0,1.0,68.0
Super built-up  Area,18-Mar,Hosa Road,2 BHK,Akvam P,1104.0,2.0,0.0,36.43
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.99
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1155.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1520.0,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,245.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290.0,2.0,1.0,85.0
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,SrntsRV,900.0,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,987.0,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1720.0,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Ratlet ,1040.0,2.0,1.0,50.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Neess P,1030.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Neeladri Nagar,3 BHK,GeereEc,2556.0,3.0,2.0,133.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,KuisePa,1850.0,3.0,1.0,168.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270.0,2.0,1.0,83.0
Super built-up  Area,Ready To Move,Domlur,2 BHK,IBictnd,1050.0,2.0,2.0,85.0
Super built-up  Area,18-Apr,Vishwapriya Nagar,2 BHK,Aaniaa ,946.0,2.0,1.0,38.0
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,VeSkyva,1726.0,3.0,3.0,145.0
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2121.0,4.0,3.0,253.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Vaens G,1025.0,2.0,2.0,57.0
Built-up  Area,Ready To Move,Kodbisanhalli,4 Bedroom,Diaste ,4800.0,5.0,3.0,629.0
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Dhows M,1040.0,2.0,2.0,46.0
Super built-up  Area,18-May,Banashankari,2 BHK,Bregae ,1310.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1788.0,3.0,2.0,98.34
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1144.0,2.0,2.0,38.55
Super built-up  Area,19-Mar,Kasavanhalli,3 BHK,Oca 2 V,1646.0,3.0,2.0,79.5
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Klark L,4395.0,4.0,2.0,242.0
Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,1995.0,3.0,2.0,135.0
Super built-up  Area,18-Dec,Hosakerehalli,2 BHK,Maunt M,1085.0,2.0,1.0,47.74
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139.0,2.0,2.0,56.8
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1767.0,3.0,2.0,98.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Maonsrn,1692.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345.0,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1408.0,3.0,3.0,62.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072.0,4.0,2.0,150.0
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Maens G,1420.0,2.0,1.0,158.0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063.0,2.0,1.0,31.9
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430.0,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,Saitya ,1760.0,3.0,2.0,145.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010.0,3.0,3.0,92.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1480.0,2.0,2.0,64.23
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,Meentan,4850.0,6.0,2.0,385.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,GRe 2iv,1100.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,116.0
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,790.5,1.0,0.0,41.9
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1942.0,3.0,2.0,102.0
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Swhtsna,1000.0,2.0,2.0,53.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,668.0,1.0,1.0,36.85
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,R ra  R,1800.0,3.0,3.0,90.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1036.0,2.0,3.0,39.35
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583.0,3.0,3.0,105.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Bhise P,1100.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,SaisePa,850.0,2.0,3.0,28.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196.0,2.0,2.0,51.51
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697.0,3.0,2.0,114.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Co IIla,3750.0,6.0,3.0,290.0
Super built-up  Area,Ready To Move,Howthinarayanappa Garden,2 BHK,Vidil D,1022.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,PaigeMa,1018.0,2.0,0.0,23.45
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1322.0,2.0,2.0,68.0
Plot  Area,Ready To Move,Marsur,4 Bedroom,AreraRe,1800.0,4.0,2.0,145.0
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Sancybr,2400.0,3.0,1.0,260.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Lallere,1635.0,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526.0,4.0,1.0,558.0
Built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770.0,3.0,1.0,460.0
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,BrontLa,3035.0,5.0,0.0,200.0
Super built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1533.0,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1720.0,3.0,1.0,134.0
Super built-up  Area,18-Aug,Yeshwanthpur,2 BHK,Aroomba,1185.0,2.0,2.0,75.84
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,395.0,1.0,1.0,10.25
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031.0,2.0,1.0,56.35
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,G conTh,2650.0,4.0,2.0,240.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330.0,2.0,2.0,46.55
Super built-up  Area,Ready To Move,Hennur,2 BHK,Exitym ,1259.0,2.0,2.0,57.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1570.0,3.0,2.0,88.0
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,36.0
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216.0,2.0,1.0,79.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Srisei ,1428.0,2.0,2.0,66.0
Super built-up  Area,Ready To Move,Doddakannelli,3 BHK,SastyDy,1475.0,3.0,2.0,70.0
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1804.0,3.0,2.0,102.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1260.0,2.0,2.0,46.62
Built-up  Area,Ready To Move,Hennur Road,3 BHK,Asadacy,2160.0,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Chara N,1300.0,2.0,3.0,65.0
Super built-up  Area,Ready To Move,Cox Town,1 BHK,EGdiaAr,605.0,1.0,1.0,29.0
Super built-up  Area,18-Apr,Bhoganhalli,2 BHK,Rosha I,1444.0,2.0,1.0,75.97
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845.0,2.0,1.0,29.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Saconp ,1625.0,3.0,2.0,55.0
Super built-up  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1452.55,2.0,3.0,110.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139.0,2.0,2.0,56.85
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1660.0,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Rakulai,1170.0,2.0,3.0,105.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1448.0,2.0,2.0,68.0
Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,110.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105.0,2.0,1.0,38.65
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1825.0,3.0,1.0,105.0
Super built-up  Area,19-Dec, Bhoganhalli,1 RK,Rosha I,296.0,1.0,0.0,22.89
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185.0,2.0,2.0,43.0
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1320.0,2.0,1.0,38.12
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058.0,2.0,1.0,48.0
Super built-up  Area,18-May,Old Madras Road,2 BHK,Brglede,1200.0,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550.0,3.0,2.0,78.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2503.0,4.0,0.0,188.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2524.0,5.0,2.0,190.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045.0,2.0,2.0,76.77
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290.0,2.0,3.0,45.15
Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400.0,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680.0,3.0,1.0,112.0
Super built-up  Area,19-Oct,Begur Road,3 BHK,Pruthg ,1634.0,3.0,1.0,83.33
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352.0,2.0,2.0,85.0
Super built-up  Area,17-Sep,Balagere,2 BHK,HiqueMa,1145.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2200.0,3.0,2.0,190.0
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168.0,2.0,1.0,61.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,SNbay G,1205.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Vatra N,1195.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Saent A,1550.0,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1603.0,3.0,2.0,96.0
Built-up  Area,Ready To Move,Malleshpalya,3 BHK,MancyRe,1405.0,2.0,2.0,77.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1142.0,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1870.0,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313.0,2.0,2.0,73.0
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1945.0,3.0,3.0,120.0
Super built-up  Area,17-Jul,Thanisandra,3 BHK,Bhmesy ,1573.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1255.0,2.0,1.0,92.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1380.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sagnage,1279.0,2.0,2.0,48.0
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2526.0,2.0,2.0,250.0
Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845.0,2.0,1.0,68.27
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360.0,2.0,1.0,59.27
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1260.0,2.0,2.0,49.5
Built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,965.0,2.0,1.0,42.5
Built-up  Area,Ready To Move,Hoodi,3 BHK,Adion M,1350.0,2.0,3.0,48.0
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447.0,2.0,1.0,75.97
Super built-up  Area,Ready To Move,Gottigere,2 BHK,M denGa,1153.0,2.0,1.0,48.5
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2856.0,5.0,0.0,145.5
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,A idse ,1065.0,2.0,2.0,50.0
Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,Skarkev,1030.0,2.0,3.0,61.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410.0,2.0,3.0,44.42
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1055.0,2.0,2.0,45.35
Super built-up  Area,18-May,Yelahanka,2 BHK,Prensya,1304.0,2.0,1.0,79.0
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Puitea ,990.0,2.0,1.0,31.5
Super built-up  Area,21-Jun,Tumkur Road,1 BHK,Coowsri,700.0,1.0,0.0,30.09
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300.0,2.0,2.0,73.0
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1239.0,2.0,1.0,82.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon ,1403.0,3.0,3.0,51.63
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Sosisic,1365.0,2.0,1.0,92.0
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sid 2ss,1165.0,2.0,1.0,135.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1776.42,3.0,2.0,105.0
Super built-up  Area,Ready To Move,Bidadi,2 BHK,Etuney ,1107.0,2.0,2.0,33.0
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,DNtonri,1520.0,3.0,3.0,80.0
Super built-up  Area,19-Jul,Kannamangala,3 BHK,Sonue A,1536.0,3.0,1.0,89.0
Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050.0,2.0,1.0,38.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1850.0,3.0,2.0,146.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Diisein,1112.0,2.0,2.0,62.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,JDensar,1250.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,CSvelMa,1187.0,2.0,3.0,52.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1395.0,2.0,1.0,62.78
Super built-up  Area,18-Jul,Arekere,3 BHK,RRnumn ,2072.0,3.0,2.0,108.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450.0,3.0,3.0,60.91
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550.0,3.0,2.0,82.0
Super built-up  Area,19-Dec,Hebbal,4 BHK,SNontle,3067.0,4.0,3.0,230.0
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1210.0,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Sathya Sai Layout,6 BHK,Prowshi,11338.0,9.0,1.0,1000.0
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Prmesad,1470.0,2.0,2.0,75.0
Built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590.0,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1050.0,2.0,1.0,36.75
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306.0,2.0,1.0,55.91
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2000.0,3.0,2.0,250.0
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,3190.0,3.0,1.0,160.0
Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1215.0,2.0,1.0,51.26
Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1920.0,2.0,1.0,88.0
Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1196.0,2.0,0.0,71.74
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Siaraa ,1550.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418.0,2.0,2.0,101.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,SancyRe,1115.0,2.0,2.0,33.45
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,NCiteEl,1170.0,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Anekal,2 BHK,Sraveks,1035.0,2.0,2.0,38.3
Super built-up  Area,18-Dec,Kengeri,2 BHK,VBn 2lm,750.0,2.0,2.0,22.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1917.0,3.0,3.0,122.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Frowsru,1615.0,3.0,3.0,58.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Suryais,1325.0,2.0,2.0,119.0
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1246.0,2.0,1.0,82.0
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa It ,1215.0,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Munnekollal,2 BHK,Akave E,1200.0,2.0,2.0,49.5
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1200.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1175.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,920.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024.0,5.0,1.0,350.0
Built-up  Area,Ready To Move,Bhagyalakshmi Avenue,2 BHK,Prineth,955.0,1.0,2.0,34.01
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750.0,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Suitea ,1425.0,2.0,2.0,64.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Brsic C,2150.0,3.0,2.0,265.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maidei ,1050.0,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,ShourSp,1370.0,2.0,2.0,75.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1374.0,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754.0,3.0,2.0,124.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1850.0,4.0,3.0,139.0
Plot  Area,18-May,Chikka Tirupathi,3 Bedroom,Theanmp,3297.0,3.0,1.0,135.0
Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,BMtusLo,1187.0,2.0,2.0,45.0
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Raourpl,3000.0,2.0,2.0,120.0
Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693.0,1.0,1.0,34.3
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1980.0,3.0,2.0,224.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Saavem ,1021.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1165.0,2.0,2.0,95.0
Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,Prhar G,1756.0,3.0,2.0,92.0
Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,FoapeWa,1739.0,3.0,1.0,105.0
Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,950.0,2.0,1.0,46.5
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Cerdsga,1080.0,2.0,0.0,53.35
Super built-up  Area,Ready To Move,Arekere,2 BHK,Maierr ,1100.0,2.0,2.0,55.0
Plot  Area,Ready To Move,Ardendale,4 Bedroom,Aling10,3200.0,4.0,1.0,205.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,PraleSi,1311.0,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608.0,3.0,1.0,67.98
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1170.0,2.0,1.0,71.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255.0,2.0,1.0,77.68
Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,674.0,1.0,1.0,21.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257.0,4.0,2.0,157.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530.0,3.0,3.0,51.87
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Tentsw ,1575.0,2.0,2.0,78.0
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Nanorkr,3500.0,4.0,2.0,330.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,1263.0,2.0,1.0,93.32
Super built-up  Area,Ready To Move,KR Puram,3 BHK,MCvarar,1559.0,3.0,0.0,69.315
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MB-laan,1043.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255.0,2.0,2.0,53.5
Super built-up  Area,18-Mar,JP Nagar,2 BHK,Shestut,1352.5,2.0,0.0,93.865
Super built-up  Area,18-Dec,Chandapura,1 BHK,Siageal,590.0,1.0,0.0,13.57
Plot  Area,Ready To Move,Yelahanka,3 Bedroom,Edreelm,1550.0,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Jants V,1900.0,3.0,3.0,160.0
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,Vaarech,1455.0,3.0,2.0,73.31
Built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1035.0,2.0,1.0,40.5
Super built-up  Area,Ready To Move,Bellandur,2 BHK,OriewLa,1299.0,2.0,2.0,82.0
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Sovar S,1050.0,2.0,2.0,52.5
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025.0,2.0,0.0,37.0
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,SaeneSe,1124.0,3.0,2.0,80.0
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012.0,2.0,1.0,54.59
Super built-up  Area,Ready To Move,Giri Nagar,7 BHK,Bancyri,4500.0,5.0,3.0,250.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,i1rtsCo,871.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,Mae 2ow,1020.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550.0,3.0,3.0,73.5
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410.0,2.0,2.0,80.0
Plot  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,3500.0,5.0,3.0,150.0
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1118.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098.0,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Trurea ,1145.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,GSnts A,1051.0,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1478.0,2.0,2.0,125.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45
Carpet  Area,18-Dec,Hebbal,2 BHK,Arcia S,823.0,2.0,1.0,50.63
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991.0,4.0,2.0,100.0
